classification,caption,level_code,table_type,columns
ED-LAT,,,OTHER,"Teaching experience, Level 1, 1/7/21, 1/7/22, 1/7/22.1, 1/7/23, 1/7/23.1, 1/7/24, 1/7/24.1"
ED-LAT,,,OTHER,"Teaching experience, Level 2, 1/7/21, 1/7/22, 1/7/22.1, 1/7/23, 1/7/23.1, 1/7/24, 1/7/24.1"
ED-LAT,,,OTHER,"Teaching experience, Level 3, 1/7/21, 1/7/22, 1/7/22.1, 1/7/23, 1/7/23.1, 1/7/24, 1/7/24.1"
ED-LAT,,,OTHER,"Teaching experience, Level 4, 1/7/21, 1/7/22, 1/7/22.1, 1/7/23, 1/7/23.1, 1/7/24, 1/7/24.1"
EDS,EDS-1,EDS-1,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5"
EDS,EDS-2,EDS-2,STEP,"Effective date, Step 1, Step 2, Step 3"
EDS,EDS-3,EDS-3,STEP,"Effective date, Step 1, Step 2, Step 3"
EDS,EDS-4,EDS-4,STEP,"Effective date, Step 1, Step 2, Step 3"
EDS,EDS-5,EDS-5,STEP,"Effective date, Step 1, Step 2, Step 3"
EG,EG-1,EG-1,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6, Step 7"
EG,EG-2,EG-2,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6, Step 7"
EG,EG-3,EG-3,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6, Step 7"
EG,EG-4,EG-4,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6, Step 7"
EG,EG-5,EG-5,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6, Step 7"
EG,EG-6,EG-6,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6, Step 7"
EG,EG-7,EG-7,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6, Step 7"
EG,EG-8,EG-8,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6, Step 7"
EL,EL-01: annual rates of pay (in dollars),EL-01,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5"
EL,EL-01: annual rates of pay (in dollars): continuation,EL-01,STEP,"Effective date, Step 6, Step 7, Step 8, Step 9, Step 10"
EL,EL-02: annual rates of pay (in dollars),EL-02,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5"
EL,EL-03: annual rates of pay (in dollars),EL-03,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5"
EL,EL-04: annual rates of pay (in dollars),EL-04,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6"
EL,EL-05: annual rates of pay (in dollars),EL-05,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6"
EL,EL-06: annual rates of pay (in dollars),EL-06,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6"
EL,EL-07: annual rates of pay (in dollars),EL-07,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6"
EL,EL-08: annual rates of pay (in dollars),EL-08,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6"
EL,EL-09: annual rates of pay (in dollars),EL-09,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6"
EN,EN‑ENG‑01: annual rates of  pay (in dollars),EN-ENG-01,RANGE,"Effective date, Range"
EN,EN‑ENG‑02:  annual rates of pay (in dollars),EN-ENG-02,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5"
EN,EN‑ENG‑03:  annual rates of pay (in dollars),EN-ENG-03,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6, Step 7"
EN,EN‑ENG‑04:  annual rates of pay (in dollars),EN-ENG-04,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6"
EN,EN‑ENG‑05: annual rates of pay (in dollars),EN-ENG-05,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6"
EN,EN‑ENG‑06:  annual rates of pay (in dollars),EN-ENG-06,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6"
EST,,,OTHER,"Teaching experience, Level 1  $)  1/7/20, A)  1/7/21, B)  1/7/22, X)  1/7/22, C)  1/7/23, Y)  1/7/23, D)  1/7/24, Z)  1/7/24"
EST,,,OTHER,"Teaching experience, Level 2  $)  1/7/20, A)  1/7/21, B)  1/7/22, X)  1/7/22, C)  1/7/23, Y)  1/7/23, D)  1/7/24, Z)  1/7/24"
EST,,,OTHER,"Teaching experience, Level 3  $)  1/7/20, A)  1/7/21, B)  1/7/22, X)  1/7/22, C)  1/7/23, Y)  1/7/23, D)  1/7/24, Z)  1/7/24"
EST,,,OTHER,"Teaching experience, Level 4  $)  1/7/20, A)  1/7/21, B)  1/7/22, X)  1/7/22, C)  1/7/23, Y)  1/7/23, D)  1/7/24, Z)  1/7/24"
EST,,,OTHER,"Teaching experience, Level 5  $)  1/7/20, A)  1/7/21, B)  1/7/22, X)  1/7/22, C)  1/7/23, Y)  1/7/23, D)  1/7/24, Z)  1/7/24"
EST,,,OTHER,"Teaching experience, Level 6  $)  1/7/20, A)  1/7/21, B)  1/7/22, X)  1/7/22, C)  1/7/23, Y)  1/7/23, D)  1/7/24, Z)  1/7/24"
EST,,,OTHER,"Teaching experience, Level 1, 1/7/21, 1/7/22, 1/7/22.1, 1/7/23, 1/7/23.1, 1/7/24, 1/7/24.1"
EST,,,OTHER,"Teaching experience, Level 2, 1/7/21, 1/7/22, 1/7/22.1, 1/7/23, 1/7/23.1, 1/7/24, 1/7/24.1"
EST,,,OTHER,"Teaching experience, Level 3, 1/7/21, 1/7/22, 1/7/22.1, 1/7/23, 1/7/23.1, 1/7/24, 1/7/24.1"
EST,,,OTHER,"Teaching experience, Level 4, 1/7/21, 1/7/22, 1/7/22.1, 1/7/23, 1/7/23.1, 1/7/24, 1/7/24.1"
EST,,,OTHER,"Teaching experience, Level 5, 1/7/21, 1/7/22, 1/7/22.1, 1/7/23, 1/7/23.1, 1/7/24, 1/7/24.1"
EST,,,OTHER,"Teaching experience, Level 6, 1/7/21, 1/7/22, 1/7/22.1, 1/7/23, 1/7/23.1, 1/7/24, 1/7/24.1"
EST,,,OTHER,"Teaching experience, Level 1, 1/7/21, 1/7/22, 1/7/22.1, 1/7/23, 1/7/23.1, 1/7/24, 1/7/24.1"
EST,,,OTHER,"Teaching experience, Level 2, 1/7/21, 1/7/22, 1/7/22.1, 1/7/23, 1/7/23.1, 1/7/24, 1/7/24.1"
EST,,,OTHER,"Teaching experience, Level 3, 1/7/21, 1/7/22, 1/7/22.1, 1/7/23, 1/7/23.1, 1/7/24, 1/7/24.1"
EST,,,OTHER,"Teaching experience, Level 4, 1/7/21, 1/7/22, 1/7/22.1, 1/7/23, 1/7/23.1, 1/7/24, 1/7/24.1"
EST,,,OTHER,"Teaching experience, Level 5, 1/7/21, 1/7/22, 1/7/22.1, 1/7/23, 1/7/23.1, 1/7/24, 1/7/24.1"
EST,,,OTHER,"Teaching experience, Level 6, 1/7/21, 1/7/22, 1/7/22.1, 1/7/23, 1/7/23.1, 1/7/24, 1/7/24.1"
EST,,,OTHER,"Teaching experience, Level 1, 1/7/21, 1/7/22, 1/7/22.1, 1/7/23, 1/7/23.1, 1/7/24, 1/7/24.1"
EST,,,OTHER,"Teaching experience, Level 2, 1/7/21, 1/7/22, 1/7/22.1, 1/7/23, 1/7/23.1, 1/7/24, 1/7/24.1"
EST,,,OTHER,"Teaching experience, Level 3, 1/7/21, 1/7/22, 1/7/22.1, 1/7/23, 1/7/23.1, 1/7/24, 1/7/24.1"
EST,,,OTHER,"Teaching experience, Level 4, 1/7/21, 1/7/22, 1/7/22.1, 1/7/23, 1/7/23.1, 1/7/24, 1/7/24.1"
EST,,,OTHER,"Teaching experience, Level 5, 1/7/21, 1/7/22, 1/7/22.1, 1/7/23, 1/7/23.1, 1/7/24, 1/7/24.1"
EST,,,OTHER,"Teaching experience, Level 6, 1/7/21, 1/7/22, 1/7/22.1, 1/7/23, 1/7/23.1, 1/7/24, 1/7/24.1"
EST,,,OTHER,"Teaching experience, Level 1, 1/7/21, 1/7/22, 1/7/22.1, 1/7/23, 1/7/23.1, 1/7/24, 1/7/24.1"
EST,,,OTHER,"Teaching experience, Level 2, 1/7/21, 1/7/22, 1/7/22.1, 1/7/23, 1/7/23.1, 1/7/24, 1/7/24.1"
EST,,,OTHER,"Teaching experience, Level 3, 1/7/21, 1/7/22, 1/7/22.1, 1/7/23, 1/7/23.1, 1/7/24, 1/7/24.1"
EST,,,OTHER,"Teaching experience, Level 4, 1/7/21, 1/7/22, 1/7/22.1, 1/7/23, 1/7/23.1, 1/7/24, 1/7/24.1"
EST,,,OTHER,"Teaching experience, Level 5, 1/7/21, 1/7/22, 1/7/22.1, 1/7/23, 1/7/23.1, 1/7/24, 1/7/24.1"
EST,,,OTHER,"Teaching experience, Level 6, 1/7/21, 1/7/22, 1/7/22.1, 1/7/23, 1/7/23.1, 1/7/24, 1/7/24.1"
EST,,,OTHER,"Teaching experience, Level 1, 1/7/21, 1/7/22, 1/7/22.1, 1/7/23, 1/7/23.1, 1/7/24, 1/7/24.1"
EST,,,OTHER,"Teaching experience, Level 2, 1/7/21, 1/7/22, 1/7/22.1, 1/7/23, 1/7/23.1, 1/7/24, 1/7/24.1"
EST,,,OTHER,"Teaching experience, Level 3, 1/7/21, 1/7/22, 1/7/22.1, 1/7/23, 1/7/23.1, 1/7/24, 1/7/24.1"
EST,,,OTHER,"Teaching experience, Level 4, 1/7/21, 1/7/22, 1/7/22.1, 1/7/23, 1/7/23.1, 1/7/24, 1/7/24.1"
EST,,,OTHER,"Teaching experience, Level 5, 1/7/21, 1/7/22, 1/7/22.1, 1/7/23, 1/7/23.1, 1/7/24, 1/7/24.1"
EST,,,OTHER,"Teaching experience, Level 6, 1/7/21, 1/7/22, 1/7/22.1, 1/7/23, 1/7/23.1, 1/7/24, 1/7/24.1"
EST,,,OTHER,"Teaching experience, Level 1, 1/7/21, 1/7/22, 1/7/22.1, 1/7/23, 1/7/23.1, 1/7/24, 1/7/24.1"
EST,,,OTHER,"Teaching experience, Level 2, 1/7/21, 1/7/22, 1/7/22.1, 1/7/23, 1/7/23.1, 1/7/24, 1/7/24.1"
EST,,,OTHER,"Teaching experience, Level 3, 1/7/21, 1/7/22, 1/7/22.1, 1/7/23, 1/7/23.1, 1/7/24, 1/7/24.1"
EST,,,OTHER,"Teaching experience, Level 4, 1/7/21, 1/7/22, 1/7/22.1, 1/7/23, 1/7/23.1, 1/7/24, 1/7/24.1"
EST,,,OTHER,"Teaching experience, Level 5, 1/7/21, 1/7/22, 1/7/22.1, 1/7/23, 1/7/23.1, 1/7/24, 1/7/24.1"
EST,,,OTHER,"Teaching experience, Level 6, 1/7/21, 1/7/22, 1/7/22.1, 1/7/23, 1/7/23.1, 1/7/24, 1/7/24.1"
EST,,,OTHER,"Teaching experience, Level 1, 1/7/21, 1/7/22, 1/7/22.1, 1/7/23, 1/7/23.1, 1/7/24, 1/7/24.1"
EST,,,OTHER,"Teaching experience, Level 2, 1/7/21, 1/7/22, 1/7/22.1, 1/7/23, 1/7/23.1, 1/7/24, 1/7/24.1"
EST,,,OTHER,"Teaching experience, Level 3, 1/7/21, 1/7/22, 1/7/22.1, 1/7/23, 1/7/23.1, 1/7/24, 1/7/24.1"
EST,,,OTHER,"Teaching experience, Level 4, 1/7/21, 1/7/22, 1/7/22.1, 1/7/23, 1/7/23.1, 1/7/24, 1/7/24.1"
EST,,,OTHER,"Teaching experience, Level 5, 1/7/21, 1/7/22, 1/7/22.1, 1/7/23, 1/7/23.1, 1/7/24, 1/7/24.1"
EST,,,OTHER,"Teaching experience, Level 6, 1/7/21, 1/7/22, 1/7/22.1, 1/7/23, 1/7/23.1, 1/7/24, 1/7/24.1"
EU,Maritimes,,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6, Step 7"
EU,Quebec,,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6, Step 7"
EU,Ontario,,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6, Step 7"
EU,Manitoba,,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6, Step 7"
EU,Saskatchewan,,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6, Step 7"
EU,Alberta,,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6, Step 7"
EU,British Columbia,,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6, Step 7"
EU,,,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6, Step 7"
EU,LAI-1,LAI-1,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6, Step 7"
EU,PEI-1,PEI-1,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6, Step 7"
EU,PEI-2,PEI-2,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6"
FB,FB-1: Annual rates of pay (in dollars),FB-1,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4"
FB,FB-2: Annual rates of pay (in dollars),FB-2,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4"
FB,FB-3: Annual rates of pay (in dollars),FB-3,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4"
FB,FB-4: Annual rates of pay (in dollars),FB-4,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5"
FB,FB-5: Annual rates of pay (in dollars),FB-5,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5"
FB,FB-6: Annual rates of pay (in dollars),FB-6,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5"
FB,FB-7: Annual rates of pay (in dollars),FB-7,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5"
FB,FB-8: Annual rates of pay (in dollars),FB-8,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4"
FIN,FI: Development – annual rates of pay (in dollars),,OTHER,"Effective date, Range / Step 1"
FIN,CT-FIN: Development – annual rates of pay (in dollars),,OTHER,"Effective date, Range / Step 1"
FIN,FI-01: annual rates of pay (in dollars),FI-01,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6, Step 7"
FIN,CT-FIN-01: annual rates of pay (in dollars),CT-FIN-01,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6, Step 7"
FIN,FI-02: annual rates of pay (in dollars),FI-02,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6, Step 7"
FIN,CT-FIN-02: annual rates of pay (in dollars),CT-FIN-02,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6, Step 7"
FIN,FI-03: annual rates of pay (in dollars),FI-03,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6, Step 7"
FIN,CT-FIN-03: annual rates of pay (in dollars),CT-FIN-03,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6, Step 7"
FIN,FI-04: annual rates of pay (in dollars),FI-04,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6, Step 7"
FIN,CT-FIN-04: annual rates of pay (in dollars),CT-FIN-04,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6, Step 7"
FLP,,,NO_HEADING,
FO,FO-01: annual rates of pay (in dollars),FO-01,STEP,"Effective date, Range/Step 1table FO note *, Step 2, Step 3, Step 4, Step 5, Step 6"
FO,FO-01: annual rates of pay (in dollars) – continued,FO-01,STEP_CONTINUATION,"Effective date, Step 7, Step 8, Step 9, Step 10, Step 11, Step 12"
FO,FO-02: annual rates of pay (in dollars),FO-02,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6, Step 7, Step 8"
FO,FO-03: annual rates of pay (in dollars),FO-03,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6, Step 7"
FO,FO-04: annual rates of pay (in dollars),FO-04,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6, Step 7"
FR,FR – Recruitment rate,,STEP,"Effective date, Step 1, Step 2"
FR,FR-1,FR-1,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5"
FR,FR-2,FR-2,STEP,"Effective date, Step 1, Step 2, Step 3"
FR,FR-3,FR-3,STEP,"Effective date, Step 1"
FR,FR-4,FR-4,STEP,"Effective date, Step 1"
FR,FR-5,FR-5,STEP,"Effective date, Step 1"
FR,FR-6,FR-6,STEP,"Effective date, Step 1"
FS,,,NO_HEADING,
GL,,,NO_HEADING,
GS,,,NO_HEADING,
GT,GT-1,GT-1,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5"
GT,GT-2,GT-2,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5"
GT,GT-3,GT-3,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5"
GT,GT-4,GT-4,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5"
GT,GT-5,GT-5,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5"
GT,GT-6,GT-6,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5"
GT,GT-7,GT-7,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5"
GT,GT-8,GT-8,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5"
HP,,,NO_HEADING,
HR,HR-1: annual rates of pay (in dollars),HR-1,STEP,"Effective date, Range/Step 1table 1 note *, Step 2, Step 3, Step 4, Step 5"
HR,HR-2: annual rates of pay (in dollars),HR-2,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5"
HR,HR-3: annual rates of pay (in dollars),HR-3,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4"
HR,HR-4: annual rates of pay (in dollars),HR-4,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4"
HR,HR-5: annual rates of pay (in dollars),HR-5,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4"
HS,,,NO_HEADING,
IAU,AS-02: annual rates of pay (in dollars),AS-02,STEP,"Effective date, Step 1, Step 2, Step 3"
IAU,AS-03: annual rates of pay (in dollars),AS-03,STEP,"Effective date, Step 1, Step 2, Step 3"
IAU,CT-IAU-01: annual rates of pay (in dollars),CT-IAU-01,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6, Step 7, Step 8, Step 9"
IAU,AS-04: annual rates of pay (in dollars),AS-04,STEP,"Effective date, Step 1, Step 2, Step 3"
IAU,AS-05: annual rates of pay (in dollars),AS-05,STEP,"Effective date, Step 1, Step 2, Step 3"
IAU,CT-IAU-02: annual rates of pay (in dollars),CT-IAU-02,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6, Step 7, Step 8"
IAU,AS-06: annual rates of pay (in dollars),AS-06,STEP,"Effective date, Step 1, Step 2, Step 3"
IAU,CT-IAU-03: annual rates of pay (in dollars),CT-IAU-03,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6, Step 7"
IAU,AS-07: annual rates of pay (in dollars),AS-07,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5"
IAU,CT-IAU-04: annual rates of pay (in dollars),CT-IAU-04,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6, Step 7"
INS,,,NO_HEADING,
IS,IS‐1 – Annual rates of pay (in dollars),IS-1,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4"
IS,IS‐2 – Annual rates of pay (in dollars),IS-2,STEP,"Effective date, Step 1, Step 2, Step 3"
IS,IS‐3 – Annual rates of pay (in dollars),IS-3,STEP,"Effective date, Step 1, Step 2, Step 3"
IS,IS‐4 – Annual rates of pay (in dollars),IS-4,STEP,"Effective date, Step 1, Step 2, Step 3"
IS,IS‐5 – Annual rates of pay (in dollars),IS-5,STEP,"Effective date, Step 1, Step 2, Step 3"
IS,IS‐6 – Annual rates of pay (in dollars),IS-6,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5"
IT,IT-01: annual rates of pay (in dollars),IT-01,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6, Step 7, Step 8"
IT,IT-02: annual rates of pay (in dollars),IT-02,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6, Step 7, Step 8"
IT,IT-03: annual rates of pay (in dollars),IT-03,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6, Step 7, Step 8"
IT,IT-04: annual rates of pay (in dollars),IT-04,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6, Step 7, Step 8"
IT,IT-05: annual rates of pay (in dollars),IT-05,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6, Step 7, Step 8, Step 9"
LAT,,,OTHER,"Teaching experience, Level 1, 1/7/21, 1/7/22, 1/7/22.1, 1/7/23, 1/7/23.1, 1/7/24, 1/7/24.1"
LAT,,,OTHER,"Teaching experience, Level 2, 1/7/21, 1/7/22, 1/7/22.1, 1/7/23, 1/7/23.1, 1/7/24, 1/7/24.1"
LAT,,,OTHER,"Teaching experience, Level 3, 1/7/21, 1/7/22, 1/7/22.1, 1/7/23, 1/7/23.1, 1/7/24, 1/7/24.1"
LAT,,,OTHER,"Teaching experience, Level 4, 1/7/21, 1/7/22, 1/7/22.1, 1/7/23, 1/7/23.1, 1/7/24, 1/7/24.1"
LAT,,,OTHER,"Teaching experience, Level 1, 1/7/21, 1/7/22, 1/7/22.1, 1/7/23, 1/7/23.1, 1/7/24, 1/7/24.1"
LAT,,,OTHER,"Teaching experience, Level 2, 1/7/21, 1/7/22, 1/7/22.1, 1/7/23, 1/7/23.1, 1/7/24, 1/7/24.1"
LAT,,,OTHER,"Teaching experience, Level 3, 1/7/21, 1/7/22, 1/7/22.1, 1/7/23, 1/7/23.1, 1/7/24, 1/7/24.1"
LAT,,,OTHER,"Teaching experience, Level 4, 1/7/21, 1/7/22, 1/7/22.1, 1/7/23, 1/7/23.1, 1/7/24, 1/7/24.1"
LI,LI-1,LI-1,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5"
LI,LI-2,LI-2,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5"
LI,LI-3,LI-3,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4"
LI,LI-4,LI-4,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4"
LI,LI-5,LI-5,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4"
LI,LI-6,LI-6,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4"
LI,LI-7,LI-7,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4"
LI,LI-8,LI-8,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4"
LI,LI-9,LI-9,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4"
LI,,,OTHER,"Days of operation of lightstation, Seasonal stations rate of adjustment %, Rotational stations rate of adjustment %, Seasonal rotational stations rate of adjustment %"
LI,,,OTHER,"Formula, Formula.1"
LP,LP-00 (Steps 1 to 6),LP-00,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6"
LP,LP-00 (Steps 7 to 12),LP-00,STEP,"Effective date, Step 7, Step 8, Step 9, Step 10, Step 11, Step 12"
LP,LP-00 (Steps 13 to 18),LP-00,STEP,"Effective date, Step 13, Step 14, Step 15, Step 16, Step 17, Step 18"
LP,LP-01,LP-01,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6, Step 7, Step 8"
LP,LP-02 (Steps 1 to 6),LP-02,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6"
LP,LP-02 (Steps 7 and 11),LP-02,STEP,"Effective date, Step 7, Step 8, Step 9, Step 10, Step 11"
LP,LP-03,LP-03,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6, Step 7, Step 8"
LP,LP-04,LP-04,RANGE,"Effective date, Range"
LP,LP-05,LP-05,RANGE,"Effective date, Range"
LP,LP-00 (Steps 1 to 6),LP-00,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6"
LP,LP-00 (Steps 7 to 12),LP-00,STEP,"Effective date, Step 7, Step 8, Step 9, Step 10, Step 11, Step 12"
LP,LP-00 (Steps 13 to 18),LP-00,STEP,"Effective date, Step 13, Step 14, Step 15, Step 16, Step 17, Step 18"
LP,LP-01,LP-01,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6, Step 7, Step 8"
LP,LP-02 (Steps 1 to 6),LP-02,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6"
LP,LP-02 (Steps 7 to 11),LP-02,STEP,"Effective date, Step 7, Step 8, Step 9, Step 10, Step 11"
LP,LP-03,LP-03,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6, Step 7, Step 8"
LP,LP-04,LP-04,RANGE,"Effective date, Range"
LP,LP-05,LP-05,RANGE,"Effective date, Range"
LS,LS-1,LS-1,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6, Step 7, Step 8"
LS,LS-2,LS-2,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5"
LS,LS-3,LS-3,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5"
LS,LS-4,LS-4,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6"
LS,LS-5,LS-5,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6"
MA,MA-1: annual rates of pay (in dollars),MA-1,OTHER,"Effective date, Range / Step 1"
MA,MA-2: annual rates of pay (in dollars),MA-2,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6, Step 7"
MA,MA-3: annual rates of pay (in dollars),MA-3,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6"
MA,MA-4: annual rates of pay (in dollars),MA-4,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6"
MA,MA-5: annual rates of pay (in dollars),MA-5,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5"
MA,MA-6: annual rates of pay (in dollars),MA-6,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5"
MA,MA-7: annual rates of pay (in dollars),MA-7,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5"
MAO,,,NO_HEADING,
MD,MD-MOF-1: annual rates of pay (in dollars),MD-MOF-1,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6, Step 7, Step 8"
MD,MD-MOF-2: annual rates of pay (in dollars),MD-MOF-2,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4, Step 5, Step 6"
MD,MD-MOF-3: annual rates of pay (in dollars),MD-MOF-3,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4"
MD,MD-MOF-4: annual rates of pay (in dollars),MD-MOF-4,STEP,"Effective date, Step 1, Step 2, Step 3, Step 4"
MD,MD-MSP-1: annual rates of pay (in dollars),MD-MSP-1,STEP,"Effective date, Step 1, Step 2, Step 3"
MD,MD-MSP-2: annual rates of pay (in dollars),MD-MSP-2,STEP,"Effective date, Step 1, Step 2, Step 3"
MT,MT-01: annual rates of pay (in dollars),MT-01,OTHER,"Effective date, Range/Step 1table MT note *"
